song_id,entry_date,exit_date,days_on_playlist,peak_position,peak_date,time_to_peak
EMPELOTICA - Lenny Tavárez & Feid,2025-02-25,2025-04-06,36,16,2025-03-03,6
EMRATA - Myke Towers,2024-11-25,2024-11-25,1,46,2024-11-25,0
EROTICAAAAAAA - Gonzy,2025-10-13,2025-10-31,15,38,2025-10-25,12
ESKELETO - SAIKO,2025-04-28,2025-10-23,113,11,2025-05-02,4
El Cielo - Sky Rompiendo & Feid & Myke Towers,2024-06-04,2025-03-09,271,2,2024-06-10,6
El Conjuntito - El Bobe & Omar Montes,2025-03-24,2025-09-23,180,1,2025-04-09,16
El Destello - Juanjo Bona & Martin Urrutia,2025-10-06,2025-10-06,1,36,2025-10-06,0
El Fin del Mundo - La La Love You,2025-06-03,2025-11-23,98,37,2025-08-25,83
El Jefe - Shakira & Fuerza Regida,2024-09-24,2024-10-03,10,31,2024-09-27,3
El Malo - Eladio Carrion,2025-01-21,2025-02-17,27,20,2025-01-25,4
El Mambo - Kiko Rivera,2024-10-04,2025-03-01,145,2,2024-10-13,9
El Merengue - Marshmello,2024-11-04,2025-11-18,317,19,2024-11-05,1
El Merengue - Marshmello & Manuel Turizo,2024-05-18,2024-11-03,170,5,2024-05-18,0
El Patio - Pepe y Vizio & Delaossa & KIDDO,2025-02-22,2025-08-27,152,8,2025-03-07,13
Ella Baila Sola - Eslabon Armado,2024-05-18,2024-08-09,84,9,2024-06-03,16
En To Lao - Haze & Jhayco,2024-06-15,2024-07-01,11,45,2024-07-01,16
Enamórate - Nicki Nicole & Bad Gyal,2024-11-16,2024-12-01,15,31,2024-11-18,2
Es un Secreto - Plan B,2025-06-22,2025-07-04,13,37,2025-06-30,8
Escriurem - Chiara Oliver & Martin Urrutia,2025-01-25,2025-01-25,1,47,2025-01-25,0
Espectacular - Sky Rompiendo & Rauw Alejandro,2025-04-25,2025-04-27,2,49,2025-04-25,0
Espresso - Sabrina Carpenter,2025-06-09,2025-07-03,24,39,2025-06-28,19
Espresso Martini - Rauw Alejandro,2025-11-17,2025-11-21,5,21,2025-11-17,0
